,美国20家银行资产负债信息（单位：千美元）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,银行名称（英文）,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
,-,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices,Total assets,Total liabilities,cash and balances due from depository institutions,deposits held in domestic offices
1,"JPMorgan Chase Bank, National Association",1945467000,1776134000,349476000,1004101000,2074981000,1889104000,500146000,1114179000,1914658000,1718861000,337791000,1077380000,2082803000,1877454000,413066000,1236271000,2140778000,1928932000,464923000,1271886000,2218960000,2004617000,321590000,1281202000,2338048000,2091829000,263780000,1355068000,3025285000,2755167000,527180000,1873208000,3306982000,3004113000,740395000,2152876000,3201942000,2898270000,568546000,2014513000
2,"Wells Fargo Bank, National Association",1373600000,1235456000,207224000,1000959000,1532784000,1387373000,241643000,1062122000,1610580000,1459661000,240008000,1120976000,1727279000,1571451000,220111000,1218766000,1747398000,1580796000,214635000,1259735000,1689351000,1524108000,171910000,1282404000,1712919000,1545526000,140263000,1326735000,1767808000,1596880000,246223000,1443370000,1779504000,1608362000,228375000,1504343000,1717531000,1556061000,156379000,1399274000
3,"Citibank, National Association",1355449000,1207497000,183172000,451105000,1356442000,1208757000,150687000,455561000,1299801000,1154512000,123165000,451308000,1349581000,1204776000,151913000,471527000,1384707000,1242187000,171354000,486491000,1406745000,1258162000,179696000,505657000,1453998000,1303262000,186788000,536115000,1646864000,1486995000,301838000,661542000,1669227000,1502799000,252552000,735625000,1766752000,1601807000,330199000,777024000
4,U.S. Bank National Association,360478278,321055648,8472724,246123638,398978359,357581588,10622022,263562953,417458234,374412269,11116460,279757877,441010095,394864585,15670179,315464029,456025829,408511497,19469911,327047060,459476604,410948973,21369509,327824504,486004220,436611717,22256667,346975331,544774160,491385123,62424852,420200774,564154604,512051336,28733182,447155910,585135605,540420571,45452963,453331532
5,"PNC Bank, National Association",309999678,271694761,16133158,219272947,335060015,295814386,36111112,230485077,348291098,309079411,34548888,246253224,355999734,316617156,30529047,255747768,370002264,331054554,33822336,262895285,370500928,331069511,16477644,264194840,397703264,355909050,28443511,282520917,463097309,417081706,92161188,372218063,551902526,499313543,82163055,457571469,552307127,508412165,34273498,441663089
6,Truist Bank,179126294,156812281,2007008,133558001,182489046,159778461,2068312,136977855,205125538,179302066,3441421,156893430,214433035,185989023,3702761,167649027,216077000,188232000,2390000,163944000,219071000,191001000,3611000,168539000,461256000,397050000,18882000,347458000,498944000,433307000,18472000,395781000,528514000,463538000,20084000,428138000,546228000,486285000,21240000,424773000
7,Goldman Sachs Bank USA,105616000,85526000,51102000,64089000,118214000,96671000,40157000,72380000,134695000,111471000,50016000,88134000,159116000,134468000,74601000,114789000,164539000,138955000,51285000,115679000,191517000,163761000,30522000,137463000,228836000,199466000,52578000,168119000,271652000,241594000,56268000,217310000,434075000,392162000,147680000,317867000,485553000,437212000,184470000,352005000
8,"Capital One, National Association",238482903,204821077,18001567,187152682,255011219,220416000,37717087,191527761,273231606,237330477,46786990,203198585,286080320,251380451,49837900,216988709,290651177,252894748,56320080,224592854,304657685,265109901,63273007,238190056,328999040,285943941,74120606,256824511,363521558,321288923,84403546,303536222,381299804,340842493,84441851,316873931,453313240,403760408,30935243,354959946
9,"TD Bank, National Association",217626166,189649224,6145691,184257452,230280000,199666794,15302595,191638468,246424795,213030053,12418696,207790649,269030606,234002278,16670417,228935718,288294007,251104304,12388825,246420895,302668929,264147598,12493366,259598405,320471996,280276898,9139176,273605010,401511800,357715495,54542370,351716058,423958417,376579758,44553194,371113580,386799237,344223147,13247124,329741187
10,The Bank of New York Mellon,296626000,276546000,136341000,130876000,304166000,283494000,111485000,137928000,304166000,283494000,111485000,128432000,257576000,233178000,73505000,110284000,297305000,270324000,107713000,127898000,286411000,260578000,84268000,139207000,311387000,285384000,115176000,153793000,386515000,357259000,160535000,208980000,356225000,327827000,116830000,197707000,324646000,297896000,105520000,181486000
11,"Charles Schwab Bank, SSB",99877000,93301000,8722000,93036000,111278000,103396000,9740000,102885000,139069000,129878000,10459000,129564000,175715000,163989000,9589000,163563000,198592000,185368000,12676000,169742000,234032000,218417000,21162000,217843000,216654000,201822000,19907000,201390000,342023000,319800000,24823000,317822000,420502000,393467000,45172000,392695000,348731000,341067000,23861000,325993000
12,State Street Bank and Trust Company,239051106,219065775,66500044,82783457,269781143,249658851,94292230,109476550,240898348,220314513,75695786,101723547,239202604,217055562,71641394,93977914,235021618,211941210,68543893,100595765,242037871,185217005,75992027,114391578,24214800,216697000,71588000,116343000,311181000,284978000,122840000,157691000,311063000,283242000,109322000,164380000,298020000,271441000,104903000,163284000
13,BMO Bank National Association,91286152,76533489,9835040,70249206,97496905,82310704,16519924,76498134,104121677,88543912,12934842,82075587,106169829,90947415,13156204,79772038,109372608,93930795,10069007,81155049,123147670,106963480,13690820,97022767,137588093,120923167,18229329,111048543,153847049,135730494,13355729,128932707,166652719,149798263,26056481,137817391,176980258,158439897,19314303,142016082
14,"Citizens Bank, National Association",94716980,79267181,2521664,70904149,102971333,87295475,3055538,70246534,108064717,92020890,3066238,76456860,116939799,100599516,3776736,82423844,121995997,105039781,3181930,89182594,129426633,112538387,4318567,93575474,165742416,143769906,3767569,126691001,183365970,161202115,13173249,149895406,188069637,165327770,9475846,156829177,226401591,202727709,10939330,182871182
15,"Fifth Third Bank, National Association",127428329,111710162,8296605,99883925,136279317,119717109,11007000,103812683,138620635,121502807,5210577,106684851,139776168,122972557,5134785,106832535,140077697,123190191,5268337,106763187,144453358,127208552,4510217,112797869,167845100,144805052,5234152,132165535,203174120,178768669,36544944,165140813,209696785,186732497,37545107,176175460,206289179,186808062,11662599,169348160
