node_from,node_to,weight（value）,node1的内部负债（Li）,pi
9,24,5,33.95,0.147275405
9,31,5,33.95,0.147275405
9,68,5,33.95,0.147275405
9,76,3,33.95,0.088365243
9,77,5,33.95,0.147275405
9,78,10.95,33.95,0.322533137
74,9,6.4,"1,394.79",0.00458851
74,21,10.3,"1,394.79",0.007384633
74,24,13.237061,"1,394.79",0.009490372
74,28,4.49,"1,394.79",0.003219126
74,31,150.988271,"1,394.79",0.108251739
74,41,13.89,"1,394.79",0.0099585
74,43,8.8225,"1,394.79",0.006325332
74,47,8.0809,"1,394.79",0.005793639
74,52,4.24,"1,394.79",0.003039888
74,54,51.343,"1,394.79",0.036810601
74,67,0.5,"1,394.79",0.000358477
74,68,31.83,"1,394.79",0.022820666
74,72,59.36247,"1,394.79",0.042560197
74,73,3.63,"1,394.79",0.002602545
74,74,333.292259,"1,394.79",0.238955426
74,75,2.215,"1,394.79",0.001588054
74,76,93.745314,"1,394.79",0.067211136
74,77,38.574,"1,394.79",0.027655808
74,78,172.561365,"1,394.79",0.123718669
74,79,237.864727,"1,394.79",0.170538216
74,80,51.64,"1,394.79",0.037023537
74,81,10.21,1394.78841,0.007320107
21,21,4,64.928767,0.061605975
21,43,3.2,64.928767,0.04928478
21,47,2.98,64.928767,0.045896451
21,68,14,64.928767,0.215620913
21,74,1.88,64.928767,0.028954808
21,78,5.53,64.928767,0.085170261
21,80,2.5,64.928767,0.038503734
24,24,11,491.01,0.022402802
24,31,7.08,491.01,0.014419258
24,68,261,491.01,0.531557402
24,74,39.99,491.01,0.08144437
24,76,101.32,491.01,0.206350176
24,77,4.99,491.01,0.010162726
24,78,5,491.01,0.010183092
24,79,5.73,491.01,0.011669823
24,80,35,491.01,0.071281644
24,81,15,491.01,0.030549276
28,68,3.92,12.879779,0.304353048
28,75,0.059779,12.879779,0.004641306
28,78,8.9,12.879779,0.691005645
31,24,4.75,153.53,0.030938579
31,31,14.57,153.53,0.09490002
31,54,1.49,153.53,0.009704944
31,74,12.47,153.53,0.081221911
31,76,25,153.53,0.162834625
31,77,2.8,153.53,0.018237478
31,78,15.78,153.53,0.102781215
31,79,16.28,153.53,0.106037908
31,80,20,153.53,0.1302677
41,31,5.144538,110.846238,0.04641148
41,47,1,110.846238,0.009021506
41,54,1.5,110.846238,0.013532259
41,72,10,110.846238,0.09021506
41,74,16.2,110.846238,0.146148397
41,76,8,110.846238,0.072172048
41,77,1,110.846238,0.009021506
41,78,43.0349,110.846238,0.388239608
41,79,10.9668,110.846238,0.098937052
43,77,10,17,0.588235294
43,78,4,17,0.235294118
43,80,3,17,0.176470588
54,68,28,34.51,0.811359026
54,79,6.51,34.51,0.188640974
49,72,3,10.68,0.280898876
49,78,3.18,10.68,0.297752809
49,81,4.5,10.68,0.421348315
50,24,9.98,188.1849,0.053032948
50,31,9,188.1849,0.047825304
50,49,3.98,188.1849,0.021149412
50,68,15,188.1849,0.07970884
50,72,3,188.1849,0.015941768
50,74,51.97,188.1849,0.276164559
50,76,22.38,188.1849,0.118925589
50,78,3.18,188.1849,0.016898274
50,79,2,188.1849,0.010627845
