,,,亿元,2022,,,,2021,,,,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,
nodename,Location,id,node,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金
北京银行股份有限公司,Beijing,5,1,33879.520 ,1621.110 ,30773.350 ,739.080 ,30600.000 ,157.200 ,27600.000 ,542.000 ,29000.000 ,121.300 ,26800.000 ,492.000 ,27400.000 ,824.000 ,25300.000 ,451.000 ,25700.000 ,688.000 ,23800.000 ,686.000 ,23300.000 ,634.000 ,21500.000 ,495.000 ,21200.000 ,724.000 ,19700.000 ,348.000 ,18400.000 ,890.000 ,17300.000 ,385.000 ,15200.000 ,745.000 ,14300.000 ,241.000 ,13400.000 ,564.000 ,12600.000 ,219.000 
成都银行股份有限公司,Sichuan Province,9,2,9177.000 ,608.000 ,8562.000 ,20.015 ,7683.000 ,288.000 ,7163.000 ,16.774 ,6524.000 ,348.000 ,6063.000 ,157.000 ,5584.000 ,179.000 ,5228.000 ,12.208 ,4923.000 ,31.501 ,4610.000 ,10.785 ,4345.000 ,34.211 ,4095.000 ,5.725 ,3609.000 ,55.456 ,3390.000 ,9.036 ,3214.000 ,45.797 ,3012.000 ,19.711 ,3002.000 ,6.148 ,2820.000 ,51.119 ,2613.000 ,4.744 ,2460.000 ,16.305 
杭州银行股份有限公司,Zhejiang Province,21,3,16200.000 ,256.000 ,15200.000 ,337.000 ,13900.000 ,272.000 ,13000.000 ,226.000 ,11700.000 ,143.000 ,10900.000 ,284.000 ,10200.000 ,150.000 ,9615.000 ,279.000 ,9211.000 ,110.000 ,8639.000 ,451.000 ,8330.000 ,84.008 ,7811.000 ,326.000 ,7204.000 ,101.000 ,6819.000 ,242.000 ,5453.000 ,196.000 ,5134.000 ,61.824 ,4185.000 ,156.000 ,3924.000 ,55.415 ,3402.000 ,26.045 ,3196.000 ,39.215 
华夏银行股份有限公司,Beijing,24,4,39000.000 ,572.000 ,35800.000 ,1668.000 ,36800.000 ,833.000 ,33800.000 ,1139.000 ,34000.000 ,365.000 ,31200.000 ,1090.000 ,30200.000 ,235.000 ,27500.000 ,1041.000 ,26800.000 ,407.000 ,24600.000 ,771.000 ,25100.000 ,152.000 ,23400.000 ,650.000 ,23600.000 ,159.000 ,22000.000 ,731.000 ,20200.000 ,310.000 ,19000.000 ,641.000 ,18500.000 ,191.000 ,17500.000 ,426.000 ,16700.000 ,216.000 ,15900.000 ,355.000 
江苏银行股份有限公司,Jiangsu Province,28,5,29800.000 ,697.000 ,27600.000 ,1021.000 ,26200.000 ,552.000 ,24200.000 ,716.000 ,23400.000 ,471.000 ,21600.000 ,515.000 ,20700.000 ,329.000 ,19300.000 ,412.000 ,19300.000 ,222.000 ,18000.000 ,303.000 ,17700.000 ,38.591 ,16600.000 ,282.000 ,16000.000 ,55.443 ,15100.000 ,287.000 ,12900.000 ,54.316 ,12200.000 ,113.000 ,10400.000 ,85.952 ,9822.000 ,22.433 ,7637.000 ,65.056 ,7158.000 ,66.957 
交通银行股份有限公司,Shanghai,31,6,129900.000 ,4784.000 ,119600.000 ,4246.000 ,116700.000 ,4395.000 ,106900.000 ,4670.000 ,107000.000 ,3704.000 ,98200.000 ,3306.000 ,99100.000 ,4963.000 ,91000.000 ,4126.000 ,95300.000 ,5648.000 ,88300.000 ,4033.000 ,90400.000 ,5708.000 ,83600.000 ,4444.000 ,84000.000 ,4678.000 ,77700.000 ,3543.000 ,71600.000 ,3568.000 ,66200.000 ,2418.000 ,62700.000 ,1723.000 ,57900.000 ,2130.000 ,59600.000 ,1971.000 ,55400.000 ,2092.000 
南京银行股份有限公司,Jiangsu Province,41,7,20600.000 ,138.000 ,19000.000 ,248.000 ,17500.000 ,139.000 ,16300.000 ,338.000 ,15200.000 ,127.000 ,14100.000 ,169.000 ,13400.000 ,7.998 ,12600.000 ,142.000 ,12400.000 ,69.191 ,11600.000 ,237.000 ,11400.000 ,47.674 ,10700.000 ,143.000 ,10600.000 ,86.549 ,100.000 ,28.771 ,8050.000 ,39.474 ,7526.000 ,50.394 ,5732.000 ,70.012 ,5404.000 ,86.252 ,4341.000 ,19.965 ,4072.000 ,87.049 
宁波银行股份有限公司,Zhejiang Province,43,8,23700.000 ,303.000 ,22000.000 ,1091.000 ,20200.000 ,220.000 ,18700.000 ,602.000 ,16300.000 ,33.000 ,15100.000 ,684.000 ,13200.000 ,35.960 ,12200.000 ,360.000 ,11200.000 ,24.178 ,10400.000 ,539.000 ,10300.000 ,20.460 ,9748.000 ,946.000 ,8850.000 ,67.025 ,8346.000 ,348.000 ,7165.000 ,13.811 ,6714.000 ,202.000 ,5541.000 ,28.666 ,5199.000 ,141.000 ,4622.000 ,5.480 ,4367.000 ,130.000 
平安银行股份有限公司,Guangdong Province,47,9,53200.000 ,1339.000 ,48900.000 ,533.000 ,49200.000 ,945.000 ,45300.000 ,324.000 ,44700.000 ,710.000 ,41000.000 ,410.000 ,39400.000 ,794.000 ,36300.000 ,261.000 ,34200.000 ,729.000 ,31800.000 ,246.000 ,32500.000 ,590.000 ,30300.000 ,280.000 ,29500.000 ,975.000 ,27500.000 ,526.000 ,25100.000 ,766.000 ,23500.000 ,121.000 ,21900.000 ,458.000 ,20600.000 ,136.000 ,18900.000 ,272.000 ,17800.000 ,226.000 
